evaluation_month,model,train_orders,test_orders,train_end,roc_auc,pr_auc,brier_score,expected_calibration_error,base_rate,top_fraction,flagged_orders,captured_late_deliveries,capture_rate,precision,lift
2018-03,prevalence_baseline,56644,6913,2018-02-28T23:57:55,0.5,0.19152321712715176,0.17043240823418357,0.12486125822594418,0.19152321712715176,0.1,692,132.534066251989,0.10010125849848112,0.19152321712715173,0.9999999999999999
2018-03,promise_window_only,56644,6913,2018-02-28T23:57:55,0.45230130775871247,0.1652510965882406,0.17025332895852377,0.12628762303172594,0.19152321712715176,0.1,692,41.25679012345679,0.03116071761590392,0.059619638906729465,0.31129196658778
2018-03,logistic_regression,56644,6913,2018-02-28T23:57:55,0.6886452618679657,0.35895216475450364,0.15590254203370263,0.10448597722527564,0.19152321712715176,0.1,692,328.0,0.24773413897280966,0.47398843930635837,2.474835408553516
2018-04,prevalence_baseline,63557,6663,2018-03-31T23:54:10,0.5,0.04592525889239082,0.044993832144127346,0.040464442771434676,0.04592525889239082,0.1,667,30.632147681224676,0.10010505778177999,0.04592525889239082,1.0
2018-04,promise_window_only,63557,6663,2018-03-31T23:54:10,0.462694358850981,0.041156331415189824,0.045133673623590075,0.03504563125904378,0.04592525889239082,0.1,667,17.441717791411044,0.0569990777497093,0.02614950193614849,0.5693925862763313
2018-04,logistic_regression,63557,6663,2018-03-31T23:54:10,0.7941001685137377,0.19172523913598213,0.04144066707842614,0.030553680064275692,0.04592525889239082,0.1,667,127.0,0.4150326797385621,0.1904047976011994,4.145971132081018
2018-05,prevalence_baseline,70220,6612,2018-04-30T23:47:26,0.5,0.06684815486993345,0.06248226740382109,0.035984615286534426,0.06684815486993345,0.1,662,44.25347852389595,0.1001209921355112,0.06684815486993347,1.0000000000000002
2018-05,promise_window_only,70220,6612,2018-04-30T23:47:26,0.5950834940633778,0.07844557506546188,0.06231450168147921,0.026338704266821576,0.06684815486993345,0.1,662,37.47260273972603,0.08477964420752496,0.056605140090220586,0.8467719146528021
2018-05,logistic_regression,70220,6612,2018-04-30T23:47:26,0.7297993502350447,0.1563682462685612,0.060018146687919924,0.018971245329365293,0.06684815486993345,0.1,662,120.0,0.27149321266968324,0.18126888217522658,2.7116512419515795
2018-06,prevalence_baseline,76832,5944,2018-05-31T23:51:24,0.5,0.011776581426648721,0.01577721231261206,0.06433753769038585,0.011776581426648721,0.1,595,7.007065948855989,0.10010094212651413,0.011776581426648721,1.0
2018-06,promise_window_only,76832,5944,2018-05-31T23:51:24,0.5780169268933315,0.018143700301735448,0.015493740208588834,0.06208618362000325,0.011776581426648721,0.1,595,11.211864406779661,0.16016949152542373,0.01884346959122632,1.6000797607178463
2018-06,logistic_regression,76832,5944,2018-05-31T23:51:24,0.7882387275645704,0.09222932678790702,0.011419823709709127,0.01080212036587299,0.011776581426648721,0.1,595,26.0,0.37142857142857144,0.043697478991596636,3.7105402160864345
2018-07,prevalence_baseline,82776,6021,2018-06-30T23:59:49,0.5,0.0343796711509716,0.03457519411761771,0.03809787983608866,0.0343796711509716,0.1,603,20.730941704035875,0.10014947683109118,0.0343796711509716,1.0
2018-07,promise_window_only,82776,6021,2018-06-30T23:59:49,0.5883615926241672,0.059676029470540674,0.03481252086570828,0.041767849398198165,0.0343796711509716,0.1,603,46.98863636363637,0.22699824330259114,0.0779247700889492,2.2665943995437834
2018-07,logistic_regression,82776,6021,2018-06-30T23:59:49,0.6449616035921955,0.0863592187225544,0.03285128151047432,0.011670093069862953,0.0343796711509716,0.1,603,46.0,0.2222222222222222,0.07628524046434494,2.2189054726368163
2018-08,prevalence_baseline,88797,6191,2018-07-31T23:54:20,0.5,0.06347924406396382,0.059479861066207555,0.034295790052162024,0.06347924406396382,0.1,620,39.35713131965757,0.1001453723146503,0.06347924406396382,1.0
2018-08,promise_window_only,88797,6191,2018-07-31T23:54:20,0.7727010805691531,0.16687182104605472,0.05895144409620095,0.050534544562821956,0.06347924406396382,0.1,620,117.77777777777777,0.2996890019790783,0.18996415770609318,2.9925396955685057
2018-08,logistic_regression,88797,6191,2018-07-31T23:54:20,0.6033062203602717,0.08653277554213687,0.05986749179827161,0.028526255497972705,0.06347924406396382,0.1,620,66.0,0.16793893129770993,0.1064516129032258,1.676951489780842
