capacity_fraction,flagged_orders,captured_late_deliveries,capture_rate,precision,lift,expected_prevented_late_deliveries,avoided_late_delivery_cost,intervention_program_cost,net_value,break_even_cost_per_intervention
0.01,190,28.0,0.041604754829123326,0.14736842105263157,4.160037538124658,7.0,210.0,190.0,20.0,1.1052631578947367
0.05,950,105.0,0.15601783060921248,0.11052631578947368,3.1200281535934935,26.25,787.5,950.0,-162.5,0.8289473684210527
0.1,1900,159.0,0.2362555720653789,0.08368421052631579,2.362307030577931,39.75,1192.5,1900.0,-707.5,0.6276315789473684
0.2,3800,261.0,0.38781575037147104,0.06868421052631579,1.938874638304528,65.25,1957.5,3800.0,-1842.5,0.5151315789473685
